concept:instance,concept:event,concept:name,time:timestamp,lifecycle:transition,org:resource,org:role,org:unit,org:org
09dffeb3-146f-4718-99b2-89af1b2787e5,4900441f679af73226c4a67e98709513,receive order,2023-03-21T17:45:15.271+01:00,calling,u,u,sales department,u
09dffeb3-146f-4718-99b2-89af1b2787e5,4900441f679af73226c4a67e98709513,receive order,2023-03-21T17:45:16.295+01:00,done,u,u,sales department,u
09dffeb3-146f-4718-99b2-89af1b2787e5,cf2e671e933d711cc6358da4e18c7934,accept order,2023-03-21T17:45:16.300+01:00,calling,u,u,sales department,u
c0f3a510-6726-42fc-bc92-29de4a415272,3bf4ac9ed12476d9027140aee6492ad3,receive order,2023-03-21T17:45:17.479+01:00,calling,u,u,sales department,u
09dffeb3-146f-4718-99b2-89af1b2787e5,cf2e671e933d711cc6358da4e18c7934,accept order,2023-03-21T17:45:18.308+01:00,done,u,u,sales department,u
09dffeb3-146f-4718-99b2-89af1b2787e5,ff7ecfcfcfb2a72ca8ff185e7227d214,inform storehouse and engineering department,2023-03-21T17:45:18.313+01:00,calling,u,u,sales department,u
c0f3a510-6726-42fc-bc92-29de4a415272,5e02b4aaeaa2ba2af51167d7ceba6f3c,accept order,2023-03-21T17:45:18.507+01:00,calling,u,u,sales department,u
c0f3a510-6726-42fc-bc92-29de4a415272,3bf4ac9ed12476d9027140aee6492ad3,receive order,2023-03-21T17:45:18.505+01:00,done,u,u,sales department,u
ea1bc04d-6102-4c16-b3b2-465c38820004,19bec7cf6dce3c072ca9786632abe084,receive order,2023-03-21T17:45:18.742+01:00,calling,u,u,sales department,u
ea1bc04d-6102-4c16-b3b2-465c38820004,19bec7cf6dce3c072ca9786632abe084,receive order,2023-03-21T17:45:19.764+01:00,done,u,u,sales department,u
ea1bc04d-6102-4c16-b3b2-465c38820004,683c95575fd7fa35e0cc007c96dc7986,accept order,2023-03-21T17:45:19.767+01:00,calling,u,u,sales department,u
425f63e9-34a1-4274-a2b0-819c59b8b4af,0b5f944c57b987b1f3ac35aa4e5d3abe,receive order,2023-03-21T17:45:20.482+01:00,calling,u,u,sales department,u
425f63e9-34a1-4274-a2b0-819c59b8b4af,0b5f944c57b987b1f3ac35aa4e5d3abe,receive order,2023-03-21T17:45:21.504+01:00,done,u,u,sales department,u
425f63e9-34a1-4274-a2b0-819c59b8b4af,4cf4b960e2c6ca24fc94764f3c7deee3,reject order,2023-03-21T17:45:21.509+01:00,calling,u,u,sales department,u
425f63e9-34a1-4274-a2b0-819c59b8b4af,4cf4b960e2c6ca24fc94764f3c7deee3,reject order,2023-03-21T17:45:22.516+01:00,done,u,u,sales department,u
4d4879a7-c2fb-409d-a914-9a65f07477d4,30b71b7a5e77d927251843e219768666,receive order,2023-03-21T17:45:22.570+01:00,calling,u,u,sales department,u
09dffeb3-146f-4718-99b2-89af1b2787e5,50924e6cf42e2e263e10bd11e134e1aa,process part list of order,2023-03-21T17:45:23.325+01:00,calling,u,u,storehouse,u
09dffeb3-146f-4718-99b2-89af1b2787e5,ff7ecfcfcfb2a72ca8ff185e7227d214,inform storehouse and engineering department,2023-03-21T17:45:23.318+01:00,done,u,u,sales department,u
09dffeb3-146f-4718-99b2-89af1b2787e5,8e95f8d987fc941119c3d2472faacb55,prepare for assembling the ordered bicycle,2023-03-21T17:45:23.323+01:00,calling,u,u,engineering department,u
4d4879a7-c2fb-409d-a914-9a65f07477d4,30b71b7a5e77d927251843e219768666,receive order,2023-03-21T17:45:23.602+01:00,done,u,u,sales department,u
