concept:instance,concept:event,concept:name,time:timestamp,lifecycle:transition,org:resource,org:role,org:unit,org:org
4d107c25-be17-4f90-8174-8906140b1b58,b7f7ddc38f7cd3c0e2cfda56b25b4b11,check open leads,2023-03-28T12:21:00.439+02:00,calling,u,manager,u,u
4d107c25-be17-4f90-8174-8906140b1b58,b7f7ddc38f7cd3c0e2cfda56b25b4b11,check open leads,2023-03-28T12:21:02.455+02:00,done,u,manager,u,u
4d107c25-be17-4f90-8174-8906140b1b58,ed858916cec9debd63b4666fbf1ea304,select top five leads,2023-03-28T12:21:02.459+02:00,calling,u,manager,u,u
2b8456c1-a483-495c-9020-07479c79e996,273f06565bc859ae36bf37af819416ec,check open leads,2023-03-28T12:21:03.753+02:00,calling,u,manager,u,u
2b8456c1-a483-495c-9020-07479c79e996,273f06565bc859ae36bf37af819416ec,check open leads,2023-03-28T12:21:05.767+02:00,done,u,manager,u,u
2b8456c1-a483-495c-9020-07479c79e996,a5a49c4639d3ab2336a89e1536f2c43b,select top five leads,2023-03-28T12:21:05.769+02:00,calling,u,manager,u,u
4d107c25-be17-4f90-8174-8906140b1b58,0d4e8ddda5e7207945a496bc947f87f0,tell sales assistant to call contact person of leads,2023-03-28T12:21:06.474+02:00,calling,u,manager,u,u
4d107c25-be17-4f90-8174-8906140b1b58,ed858916cec9debd63b4666fbf1ea304,select top five leads,2023-03-28T12:21:06.464+02:00,done,u,manager,u,u
7a7d269a-173d-4473-9cf2-49fc321bb939,93f3181dda7d47113ff1fce1bd512453,check open leads,2023-03-28T12:21:06.903+02:00,calling,u,manager,u,u
4d107c25-be17-4f90-8174-8906140b1b58,0d4e8ddda5e7207945a496bc947f87f0,tell sales assistant to call contact person of leads,2023-03-28T12:21:07.480+02:00,done,u,manager,u,u
4d107c25-be17-4f90-8174-8906140b1b58,e73d980e6fc46558df54f4fc57dc159d,call customer,2023-03-28T12:21:07.488+02:00,calling,u,sales assistant,u,u
2b8456c1-a483-495c-9020-07479c79e996,75220f44b1e98d20be8e83db20526b93,tell sales assistant to call contact person of leads,2023-03-28T12:21:07.778+02:00,calling,u,manager,u,u
2b8456c1-a483-495c-9020-07479c79e996,a5a49c4639d3ab2336a89e1536f2c43b,select top five leads,2023-03-28T12:21:07.776+02:00,done,u,manager,u,u
2b8456c1-a483-495c-9020-07479c79e996,75220f44b1e98d20be8e83db20526b93,tell sales assistant to call contact person of leads,2023-03-28T12:21:08.784+02:00,done,u,manager,u,u
2b8456c1-a483-495c-9020-07479c79e996,433da6085861c24b8cc67e63e5186c61,call customer,2023-03-28T12:21:08.800+02:00,calling,u,sales assistant,u,u
132b87a4-99de-4d32-ab80-c4760ce8334c,e880f04b956ab9912d26cacb42958bf5,check open leads,2023-03-28T12:21:09.847+02:00,calling,u,manager,u,u
7a7d269a-173d-4473-9cf2-49fc321bb939,d3d29b5b897ab4f8113369e67371e124,select top five leads,2023-03-28T12:21:09.932+02:00,calling,u,manager,u,u
7a7d269a-173d-4473-9cf2-49fc321bb939,93f3181dda7d47113ff1fce1bd512453,check open leads,2023-03-28T12:21:09.929+02:00,done,u,manager,u,u
4d107c25-be17-4f90-8174-8906140b1b58,e73d980e6fc46558df54f4fc57dc159d,call customer,2023-03-28T12:21:10.499+02:00,done,u,sales assistant,u,u
4d107c25-be17-4f90-8174-8906140b1b58,bba1449019e13063ac024bb93ce2d805,call customer,2023-03-28T12:21:10.506+02:00,calling,u,sales assistant,u,u
7a7d269a-173d-4473-9cf2-49fc321bb939,75c4635882f931963bf01e5a2da25248,tell sales assistant to call contact person of leads,2023-03-28T12:21:11.954+02:00,calling,u,manager,u,u
7a7d269a-173d-4473-9cf2-49fc321bb939,d3d29b5b897ab4f8113369e67371e124,select top five leads,2023-03-28T12:21:11.948+02:00,done,u,manager,u,u
2b8456c1-a483-495c-9020-07479c79e996,433da6085861c24b8cc67e63e5186c61,call customer,2023-03-28T12:21:12.805+02:00,done,u,sales assistant,u,u
2b8456c1-a483-495c-9020-07479c79e996,646827cbbd1ed9e507931b84a6a47541,call customer,2023-03-28T12:21:12.807+02:00,calling,u,sales assistant,u,u
c7c7d58b-8b7c-4c95-947f-90c2320c811d,106111eb0d8927ec4e503306c23f293c,check open leads,2023-03-28T12:21:12.841+02:00,calling,u,manager,u,u
132b87a4-99de-4d32-ab80-c4760ce8334c,e880f04b956ab9912d26cacb42958bf5,check open leads,2023-03-28T12:21:12.867+02:00,done,u,manager,u,u
132b87a4-99de-4d32-ab80-c4760ce8334c,3df2add4d31858f9979d6f557dabb5a1,select top five leads,2023-03-28T12:21:12.869+02:00,calling,u,manager,u,u
4d107c25-be17-4f90-8174-8906140b1b58,421052db2371bfe8cd69f6ce8179cf77,call customer,2023-03-28T12:21:13.524+02:00,calling,u,sales assistant,u,u
4d107c25-be17-4f90-8174-8906140b1b58,bba1449019e13063ac024bb93ce2d805,call customer,2023-03-28T12:21:13.519+02:00,done,u,sales assistant,u,u
132b87a4-99de-4d32-ab80-c4760ce8334c,3df2add4d31858f9979d6f557dabb5a1,select top five leads,2023-03-28T12:21:14.873+02:00,done,u,manager,u,u
132b87a4-99de-4d32-ab80-c4760ce8334c,11bcd2442053b9ffd360b413fa834972,tell sales assistant to call contact person of leads,2023-03-28T12:21:14.874+02:00,calling,u,manager,u,u
7a7d269a-173d-4473-9cf2-49fc321bb939,75c4635882f931963bf01e5a2da25248,tell sales assistant to call contact person of leads,2023-03-28T12:21:14.958+02:00,done,u,manager,u,u
7a7d269a-173d-4473-9cf2-49fc321bb939,0ceaafc3a1c863325235daf2dc1b840f,call customer,2023-03-28T12:21:14.961+02:00,calling,u,sales assistant,u,u
2b8456c1-a483-495c-9020-07479c79e996,646827cbbd1ed9e507931b84a6a47541,call customer,2023-03-28T12:21:15.815+02:00,done,u,sales assistant,u,u
2b8456c1-a483-495c-9020-07479c79e996,fc99666d34be630163fc55e19e2a992c,send note to manager,2023-03-28T12:21:15.817+02:00,calling,u,sales assistant,u,u
59bce01d-1506-4e4b-93eb-e85929718e05,f172ed2a74f75970507ec00a197aae16,check open leads,2023-03-28T12:21:16.705+02:00,calling,u,manager,u,u
2b8456c1-a483-495c-9020-07479c79e996,fc99666d34be630163fc55e19e2a992c,send note to manager,2023-03-28T12:21:16.822+02:00,done,u,sales assistant,u,u
2b8456c1-a483-495c-9020-07479c79e996,d1ca015bf2bef579de040f778f48284f,process lead,2023-03-28T12:21:16.826+02:00,calling,u,manager,u,u
c7c7d58b-8b7c-4c95-947f-90c2320c811d,45b77d37fa45b8fea68931c2137e24a4,select top five leads,2023-03-28T12:21:16.856+02:00,calling,u,manager,u,u
c7c7d58b-8b7c-4c95-947f-90c2320c811d,106111eb0d8927ec4e503306c23f293c,check open leads,2023-03-28T12:21:16.853+02:00,done,u,manager,u,u
7a7d269a-173d-4473-9cf2-49fc321bb939,0ceaafc3a1c863325235daf2dc1b840f,call customer,2023-03-28T12:21:16.974+02:00,done,u,sales assistant,u,u
