concept:instance,concept:event,concept:name,time:timestamp,lifecycle:transition,org:resource,org:role,org:unit,org:org
81b4e0c4-873b-4115-afa3-3fa27b2bb7ec,7086aea6630dbf19a87685d778fe0644,perform solvency check,2023-03-22T09:47:31.763+01:00,calling,u,clerk,financial department,u
81b4e0c4-873b-4115-afa3-3fa27b2bb7ec,2c678bae1481fe7008a4b40eeb8ad907,perform solvency check,2023-03-22T09:47:31.764+01:00,calling,u,clerk,financial department,u
81b4e0c4-873b-4115-afa3-3fa27b2bb7ec,7086aea6630dbf19a87685d778fe0644,perform solvency check,2023-03-22T09:47:35.780+01:00,done,u,clerk,financial department,u
81b4e0c4-873b-4115-afa3-3fa27b2bb7ec,2c678bae1481fe7008a4b40eeb8ad907,perform solvency check,2023-03-22T09:47:35.780+01:00,done,u,clerk,financial department,u
81b4e0c4-873b-4115-afa3-3fa27b2bb7ec,850a512fcc3c7b2c48d0d214abfba63d,inform customer,2023-03-22T09:47:35.783+01:00,calling,u,clerk,customer advisory,u
1c829581-655b-4ad9-9673-bf502ac724c9,ba4491d96485b436e1e4c809a2086b1a,perform solvency check,2023-03-22T09:47:37.547+01:00,calling,u,clerk,financial department,u
1c829581-655b-4ad9-9673-bf502ac724c9,48643084b1dc69dd1db6349270ed6dd1,perform solvency check,2023-03-22T09:47:37.540+01:00,calling,u,clerk,financial department,u
81b4e0c4-873b-4115-afa3-3fa27b2bb7ec,850a512fcc3c7b2c48d0d214abfba63d,inform customer,2023-03-22T09:47:37.791+01:00,done,u,clerk,customer advisory,u
81b4e0c4-873b-4115-afa3-3fa27b2bb7ec,589f28661890cb7d7cc0d6af6f5931ce,delete customer request,2023-03-22T09:47:37.797+01:00,calling,u,clerk,customer advisory,u
1c829581-655b-4ad9-9673-bf502ac724c9,48643084b1dc69dd1db6349270ed6dd1,perform solvency check,2023-03-22T09:47:39.553+01:00,done,u,clerk,financial department,u
81b4e0c4-873b-4115-afa3-3fa27b2bb7ec,589f28661890cb7d7cc0d6af6f5931ce,delete customer request,2023-03-22T09:47:39.805+01:00,done,u,clerk,customer advisory,u
9037a661-9050-4b77-bb9f-1e2413f08b4e,fbbbcdc85d6ec97b1c241f3388252b03,perform solvency check,2023-03-22T09:47:39.978+01:00,calling,u,clerk,financial department,u
9037a661-9050-4b77-bb9f-1e2413f08b4e,a46e9ce78b91812cff7cc07d41e42767,perform solvency check,2023-03-22T09:47:39.982+01:00,calling,u,clerk,financial department,u
9037a661-9050-4b77-bb9f-1e2413f08b4e,a46e9ce78b91812cff7cc07d41e42767,perform solvency check,2023-03-22T09:47:41.009+01:00,done,u,clerk,financial department,u
9037a661-9050-4b77-bb9f-1e2413f08b4e,916f002aeb357096d6b6ec21d60c9631,inform customer,2023-03-22T09:47:41.997+01:00,calling,u,clerk,customer advisory,u
9037a661-9050-4b77-bb9f-1e2413f08b4e,fbbbcdc85d6ec97b1c241f3388252b03,perform solvency check,2023-03-22T09:47:41.994+01:00,done,u,clerk,financial department,u
1c829581-655b-4ad9-9673-bf502ac724c9,4f32a79c893ac3b64ec52f7199594162,develop payment schedule,2023-03-22T09:47:42.571+01:00,calling,Anna,u,u,u
1c829581-655b-4ad9-9673-bf502ac724c9,ba4491d96485b436e1e4c809a2086b1a,perform solvency check,2023-03-22T09:47:42.557+01:00,done,u,clerk,financial department,u
d8ec0c25-8488-430a-88e1-c85d45c8cc2f,f4f54e07deace10aa9e1083764139839,perform solvency check,2023-03-22T09:47:43.469+01:00,calling,u,clerk,financial department,u
d8ec0c25-8488-430a-88e1-c85d45c8cc2f,ea5df6f48b4256fc8db0f8c395919b0a,perform solvency check,2023-03-22T09:47:43.473+01:00,calling,u,clerk,financial department,u
9037a661-9050-4b77-bb9f-1e2413f08b4e,916f002aeb357096d6b6ec21d60c9631,inform customer,2023-03-22T09:47:44.002+01:00,done,u,clerk,customer advisory,u
9037a661-9050-4b77-bb9f-1e2413f08b4e,916f86d1c26c41bbadba666df6fed39d,delete customer request,2023-03-22T09:47:44.009+01:00,calling,u,clerk,customer advisory,u
1c829581-655b-4ad9-9673-bf502ac724c9,4f32a79c893ac3b64ec52f7199594162,develop payment schedule,2023-03-22T09:47:44.578+01:00,done,Anna,u,u,u
1c829581-655b-4ad9-9673-bf502ac724c9,85515730aff42f8e11f8f5d7c21df1a3,send schedule,2023-03-22T09:47:44.583+01:00,calling,u,u,u,u
1c829581-655b-4ad9-9673-bf502ac724c9,85515730aff42f8e11f8f5d7c21df1a3,send schedule,2023-03-22T09:47:45.591+01:00,done,u,u,u,u
1c829581-655b-4ad9-9673-bf502ac724c9,839bb170e5b0d922e0c47fd59e79d916,approve payment schedule,2023-03-22T09:47:45.603+01:00,calling,u,manager,u,u
1c829581-655b-4ad9-9673-bf502ac724c9,1cb778514bd31eb319db5eb0fb31a31b,approve payment schedule,2023-03-22T09:47:45.604+01:00,calling,u,supervisor,u,u
